name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion
Preeti,preeti@gmail.com,preeti8549,GP,F,15,50.0,40.0,45.0,62.0,62.0,45.0,0.0,3,8.0,0,1,1,0,1,0,0,0,9,42,0,5,0,0
Mary,mary@gmail.com,mary4116,GP,F,15,55.00000000000001,65.0,65.0,99.0,100.0,61.666666666666664,1.0,5,30.428571428571427,0,1,1,1,1,0,1,0,67,56,51,16,0,23
Piyush,piyush@gmail.com,piyush6043,GP,M,15,65.0,65.0,65.0,57.0,59.0,65.0,2.0,4,33.714285714285715,0,0,0,1,1,1,1,0,0,0,29,87,94,26
Karan,karan@gmail.com,karan8714,GP,M,15,45.0,45.0,50.0,57.0,55.0,46.666666666666664,-2.0,3,28.285714285714285,1,1,0,0,0,0,1,45,86,0,0,0,0,67
Ansh,ansh@gmail.com,ansh8896,GP,M,15,70.0,80.0,80.0,71.0,75.0,76.66666666666667,4.0,4,43.285714285714285,1,1,1,0,0,0,1,74,100,59,0,0,0,70
Mary,mary@gmail.com,mary5413,GP,F,16,70.0,70.0,70.0,78.0,77.0,70.0,-1.0,5,22.571428571428573,0,1,1,0,1,1,1,0,8,36,0,80,30,4
Khushi,khushi@gmail.com,khushi4904,GP,F,16,65.0,70.0,70.0,78.0,80.0,68.33333333333333,2.0,3,26.0,0,0,1,1,0,0,1,0,0,77,45,0,0,60
Preeti,preeti@gmail.com,preeti1793,GP,F,16,40.0,50.0,50.0,68.0,64.0,46.666666666666664,-4.0,4,18.857142857142858,1,1,0,1,1,0,0,38,12,0,78,4,0,0
Karan,karan@gmail.com,karan7611,GP,M,17,30.0,25.0,25.0,60.0,65.0,26.666666666666668,5.0,5,30.857142857142858,1,1,1,1,1,0,0,34,74,38,56,14,0,0
Anshul,anshul@gmail.com,anshul6355,GP,M,16,45.0,55.00000000000001,55.00000000000001,98.0,97.0,51.666666666666664,-1.0,4,31.0,0,1,0,1,1,1,0,0,21,0,6,96,94,0
Ansh,ansh@gmail.com,ansh6550,GP,M,15,60.0,65.0,70.0,54.0,55.0,65.0,1.0,5,35.857142857142854,1,1,1,0,0,1,1,14,80,57,0,0,100,0
Piyush,piyush@gmail.com,piyush4934,GP,M,15,65.0,80.0,80.0,93.0,89.0,75.0,-4.0,4,12.142857142857142,1,0,0,1,0,1,1,24,0,0,48,0,7,6
Karan,karan@gmail.com,karan3588,GP,M,16,70.0,70.0,75.0,56.0,56.0,71.66666666666667,0.0,3,24.142857142857142,1,0,0,0,0,1,1,76,0,0,0,0,85,8
Karan,karan@gmail.com,karan5968,GP,M,16,65.0,65.0,60.0,71.0,72.0,63.333333333333336,1.0,4,17.571428571428573,1,0,0,1,1,0,1,27,0,0,37,46,0,13
Mary,mary@gmail.com,mary2364,GP,F,15,50.0,45.0,40.0,66.0,63.0,45.0,-3.0,3,18.0,1,1,0,1,0,0,0,23,44,0,59,0,0,0
Mary,mary@gmail.com,mary9370,GP,F,16,30.0,45.0,40.0,80.0,85.0,38.333333333333336,5.0,5,41.142857142857146,0,0,1,1,1,1,1,0,0,99,63,64,6,56
Vivek,vivek@gmail.com,vivek2531,GP,M,15,60.0,60.0,55.00000000000001,74.0,69.0,58.333333333333336,-5.0,4,25.0,1,1,0,1,0,1,0,5,94,0,42,0,34,0
Anshul,anshul@gmail.com,anshul3618,GP,M,15,75.0,80.0,75.0,74.0,78.0,76.66666666666667,4.0,4,35.0,0,1,1,0,0,1,1,0,97,69,0,0,11,68
Anshul,anshul@gmail.com,anshul8789,GP,M,16,60.0,60.0,60.0,99.0,97.0,60.0,-2.0,4,31.0,0,0,0,1,1,1,1,0,0,0,62,59,16,80
Anshul,anshul@gmail.com,anshul5201,GP,M,16,55.00000000000001,65.0,60.0,98.0,97.0,60.0,-1.0,3,22.857142857142858,1,1,1,0,0,0,0,91,30,39,0,0,0,0
Ansh,ansh@gmail.com,ansh9438,GP,M,15,45.0,55.00000000000001,60.0,61.0,66.0,53.333333333333336,5.0,3,27.285714285714285,0,0,1,1,0,0,1,0,0,99,88,0,0,4
Ram,ram@gmail.com,ram2017,GP,M,15,80.0,75.0,80.0,52.0,47.0,78.33333333333333,-5.0,5,32.142857142857146,1,1,0,1,0,1,1,5,67,0,89,0,9,55
Vivek,vivek@gmail.com,vivek8637,GP,M,15,85.0,80.0,80.0,65.0,64.0,81.66666666666667,-1.0,3,30.571428571428573,0,0,1,1,1,0,0,0,0,65,72,77,0,0
Ansh,ansh@gmail.com,ansh7114,GP,M,15,35.0,45.0,55.00000000000001,52.0,49.0,45.0,-3.0,5,21.714285714285715,0,0,1,1,1,1,1,0,0,13,9,22,23,85
Vivek,vivek@gmail.com,vivek4407,GP,M,16,55.00000000000001,65.0,70.0,53.0,52.0,63.333333333333336,-1.0,3,6.571428571428571,0,1,0,0,1,0,1,0,14,0,0,25,0,7
Varsha,varsha@gmail.com,varsha6467,GP,F,15,35.0,30.0,25.0,53.0,58.0,30.0,5.0,5,36.142857142857146,1,1,0,1,0,1,1,33,95,0,8,0,98,19
Ansh,ansh@gmail.com,ansh5348,GP,M,15,75.0,80.0,90.0,87.0,83.0,81.66666666666667,-4.0,3,24.714285714285715,0,1,0,0,0,1,1,0,7,0,0,0,69,97
Ram,ram@gmail.com,ram7857,GP,M,16,75.0,80.0,75.0,65.0,66.0,76.66666666666667,1.0,5,32.0,1,0,1,0,1,1,1,73,0,41,0,14,46,50
Mary,mary@gmail.com,mary2932,GP,F,15,60.0,60.0,55.00000000000001,72.0,72.0,58.333333333333336,0.0,4,33.57142857142857,1,1,0,1,0,1,0,26,94,0,98,0,17,0
Varsha,varsha@gmail.com,varsha8279,GP,F,15,70.0,65.0,65.0,73.0,78.0,66.66666666666667,5.0,4,15.714285714285714,1,0,0,0,1,1,1,18,0,0,0,18,5,69
Khushi,khushi@gmail.com,khushi5280,GP,F,16,35.0,50.0,55.00000000000001,89.0,91.0,46.666666666666664,2.0,3,13.571428571428571,0,1,0,1,0,1,0,0,1,0,43,0,51,0
Vivek,vivek@gmail.com,vivek9923,GP,M,15,60.0,60.0,60.0,90.0,92.0,60.0,2.0,5,45.714285714285715,1,1,0,1,1,1,0,72,72,0,69,87,20,0
Ram,ram@gmail.com,ram8923,GP,M,15,90.0,85.0,85.0,59.0,63.0,86.66666666666667,4.0,3,13.714285714285714,1,0,1,0,0,1,0,44,0,47,0,0,5,0
Ram,ram@gmail.com,ram4739,GP,M,15,35.0,35.0,50.0,51.0,48.0,40.0,-3.0,4,45.857142857142854,0,1,1,0,0,1,1,0,95,59,0,0,99,68
Varsha,varsha@gmail.com,varsha7417,GP,F,16,50.0,50.0,45.0,65.0,68.0,48.333333333333336,3.0,3,12.285714285714286,0,1,0,0,0,1,1,0,43,0,0,0,17,26
Varsha,varsha@gmail.com,varsha8771,GP,F,15,45.0,45.0,35.0,91.0,87.0,41.666666666666664,-4.0,3,20.285714285714285,0,0,1,0,0,1,1,0,0,68,0,0,30,44
Manisha,manisha@gmail.com,manisha6385,GP,F,16,50.0,55.00000000000001,50.0,57.0,61.0,51.666666666666664,4.0,3,32.857142857142854,1,0,1,1,0,0,0,47,0,92,91,0,0,0
Piyush,piyush@gmail.com,piyush6555,GP,M,16,95.0,95.0,100.0,78.0,83.0,96.66666666666667,5.0,4,27.428571428571427,1,0,0,0,1,1,1,41,0,0,0,7,44,100
Abdul,abdul@gmail.com,abdul7533,GP,M,15,70.0,70.0,65.0,51.0,48.0,68.33333333333333,-3.0,3,18.857142857142858,0,1,1,0,0,0,1,0,17,34,0,0,0,81
Preeti,preeti@gmail.com,preeti2326,GP,F,15,35.0,35.0,35.0,82.0,79.0,35.0,-3.0,3,18.571428571428573,0,0,1,1,1,0,0,0,0,21,76,33,0,0
Khushi,khushi@gmail.com,khushi8912,GP,F,16,55.00000000000001,60.0,60.0,59.0,57.0,58.333333333333336,-2.0,5,31.0,1,1,1,0,1,1,0,12,87,66,0,26,26,0
Preeti,preeti@gmail.com,preeti9605,GP,F,15,55.00000000000001,65.0,65.0,62.0,66.0,61.666666666666664,4.0,5,25.142857142857142,0,1,1,1,1,0,1,0,57,92,14,13,0,0
Abdul,abdul@gmail.com,abdul5985,GP,M,15,55.00000000000001,55.00000000000001,50.0,61.0,56.0,53.333333333333336,-5.0,4,24.428571428571427,1,1,1,0,0,0,1,66,29,75,0,0,0,1
Mary,mary@gmail.com,mary8196,GP,F,15,40.0,50.0,55.00000000000001,86.0,82.0,48.333333333333336,-4.0,3,13.0,0,0,0,1,1,1,0,0,0,0,39,6,46,0
Varsha,varsha@gmail.com,varsha1802,GP,F,15,55.00000000000001,70.0,70.0,100.0,100.0,65.0,0.0,5,30.285714285714285,1,1,1,1,0,0,1,63,0,46,65,0,0,38
Khushi,khushi@gmail.com,khushi8485,GP,F,16,45.0,50.0,55.00000000000001,95.0,99.0,50.0,4.0,4,34.857142857142854,1,1,1,0,0,0,1,41,79,91,0,0,0,33
Manisha,manisha@gmail.com,manisha2449,GP,F,15,70.0,75.0,75.0,64.0,65.0,73.33333333333333,1.0,4,34.42857142857143,1,0,1,0,1,1,0,51,0,75,0,40,75,0
Ram,ram@gmail.com,ram1767,GP,M,15,75.0,80.0,80.0,98.0,95.0,78.33333333333333,-3.0,5,46.57142857142857,1,1,1,1,0,0,1,41,85,87,47,0,0,66
Piyush,piyush@gmail.com,piyush2674,GP,M,15,40.0,45.0,40.0,58.0,62.0,41.666666666666664,4.0,3,23.285714285714285,0,0,0,0,1,1,1,0,0,0,0,66,85,12
Mary,mary@gmail.com,mary5174,GP,F,16,75.0,80.0,80.0,85.0,88.0,78.33333333333333,3.0,3,26.142857142857142,1,0,0,0,0,1,1,79,0,0,0,0,43,61
Preeti,preeti@gmail.com,preeti8106,GP,F,16,55.00000000000001,60.0,60.0,91.0,95.0,58.333333333333336,4.0,5,24.0,1,0,1,1,1,1,0,83,0,13,60,0,12,0
Varsha,varsha@gmail.com,varsha3636,GP,F,16,50.0,40.0,55.00000000000001,68.0,63.0,48.333333333333336,-5.0,5,59.42857142857143,1,0,1,1,1,0,1,95,0,92,83,49,0,97
Preeti,preeti@gmail.com,preeti8225,GP,F,16,45.0,55.00000000000001,50.0,98.0,94.0,50.0,-4.0,3,19.285714285714285,1,1,1,0,0,0,0,39,19,77,0,0,0,0
Preeti,preeti@gmail.com,preeti3176,GP,F,16,45.0,40.0,40.0,50.0,46.0,41.666666666666664,-4.0,4,19.285714285714285,0,1,1,1,0,1,0,0,75,30,16,0,14,0
Preeti,preeti@gmail.com,preeti2774,GP,F,15,50.0,50.0,50.0,69.0,74.0,50.0,5.0,4,34.142857142857146,0,1,1,0,0,1,1,0,71,84,0,0,46,38
Manisha,manisha@gmail.com,manisha5010,GP,F,16,85.0,80.0,80.0,98.0,100.0,81.66666666666667,2.0,3,14.428571428571429,0,1,1,0,1,0,0,0,1,95,0,5,0,0
Vivek,vivek@gmail.com,vivek2803,GP,M,15,65.0,65.0,60.0,64.0,67.0,63.333333333333336,3.0,5,25.0,1,1,0,0,1,1,1,20,90,0,0,12,46,7
Manisha,manisha@gmail.com,manisha8524,GP,F,16,35.0,35.0,30.0,63.0,58.0,33.333333333333336,-5.0,3,16.571428571428573,0,0,0,1,1,0,1,0,0,0,92,4,0,20
Mary,mary@gmail.com,mary8548,GP,F,15,45.0,50.0,45.0,96.0,99.0,46.666666666666664,3.0,3,18.571428571428573,1,1,1,0,0,0,0,39,13,78,0,0,0,0
Manisha,manisha@gmail.com,manisha2605,GP,F,15,85.0,85.0,85.0,97.0,99.0,85.0,2.0,3,18.0,0,0,1,1,1,0,0,0,0,5,64,57,0,0
Anshul,anshul@gmail.com,anshul5233,GP,M,16,65.0,75.0,75.0,78.0,77.0,71.66666666666667,-1.0,4,36.0,1,0,1,0,1,0,1,85,0,22,0,47,0,98
Ram,ram@gmail.com,ram1683,GP,M,15,50.0,50.0,50.0,81.0,77.0,50.0,-4.0,4,27.571428571428573,1,0,0,0,1,1,1,30,0,0,0,98,42,23
Preeti,preeti@gmail.com,preeti6247,GP,F,15,35.0,25.0,20.0,52.0,49.0,26.666666666666668,-3.0,5,21.285714285714285,0,0,1,1,1,1,1,0,0,3,2,17,57,70
Karan,karan@gmail.com,karan9418,GP,M,16,60.0,60.0,70.0,73.0,76.0,63.333333333333336,3.0,4,26.857142857142858,1,1,0,1,1,0,0,58,79,0,16,35,0,0
Khushi,khushi@gmail.com,khushi8393,GP,F,16,55.00000000000001,60.0,55.00000000000001,76.0,81.0,56.666666666666664,5.0,3,38.714285714285715,0,1,0,0,0,1,1,0,90,0,0,0,96,85
Piyush,piyush@gmail.com,piyush9075,GP,M,15,50.0,50.0,55.00000000000001,95.0,97.0,51.666666666666664,2.0,5,36.285714285714285,1,1,0,1,0,1,1,70,56,0,42,0,79,7
Vivek,vivek@gmail.com,vivek3671,GP,M,15,50.0,50.0,45.0,52.0,54.0,48.333333333333336,2.0,5,30.428571428571427,0,1,0,1,1,1,1,0,10,0,40,95,11,57
Khushi,khushi@gmail.com,khushi3443,GP,F,16,60.0,60.0,60.0,99.0,98.0,60.0,-1.0,3,12.142857142857142,1,0,1,0,1,0,0,50,0,31,0,4,0,0
Ram,ram@gmail.com,ram8729,GP,M,17,40.0,40.0,50.0,81.0,79.0,43.333333333333336,-2.0,5,43.285714285714285,1,0,0,1,1,1,1,77,0,0,88,53,59,26
Manisha,manisha@gmail.com,manisha5524,GP,F,16,25.0,25.0,25.0,68.0,69.0,25.0,1.0,4,31.857142857142858,0,0,1,1,1,1,0,0,0,10,86,47,80,0
Vivek,vivek@gmail.com,vivek6726,GP,M,15,45.0,55.00000000000001,55.00000000000001,57.0,59.0,51.666666666666664,2.0,4,23.285714285714285,0,1,0,1,0,1,1,0,3,0,16,0,73,71
Karan,karan@gmail.com,karan3826,GP,M,15,50.0,45.0,50.0,57.0,60.0,48.333333333333336,3.0,5,35.142857142857146,1,0,1,1,0,1,1,29,0,7,79,0,93,38
Preeti,preeti@gmail.com,preeti7395,GP,F,15,35.0,30.0,30.0,63.0,59.0,31.666666666666668,-4.0,5,34.142857142857146,1,1,1,0,1,0,1,31,7,88,0,20,0,93
Vivek,vivek@gmail.com,vivek8644,GP,M,15,75.0,75.0,75.0,75.0,75.0,75.0,0.0,3,22.857142857142858,0,0,1,0,1,0,1,0,0,35,0,48,0,77
Varsha,varsha@gmail.com,varsha8508,GP,F,15,50.0,55.00000000000001,55.00000000000001,91.0,94.0,53.333333333333336,3.0,5,38.42857142857143,1,1,0,1,0,1,1,60,37,0,30,0,76,66
Mary,mary@gmail.com,mary2923,GP,F,15,30.0,40.0,35.0,59.0,60.0,35.0,1.0,3,15.285714285714286,0,1,0,0,1,1,0,0,16,0,0,25,66,0
Khushi,khushi@gmail.com,khushi8854,GP,F,16,40.0,35.0,30.0,77.0,73.0,35.0,-4.0,3,22.857142857142858,1,0,0,0,0,1,1,99,0,0,0,0,33,28
Khushi,khushi@gmail.com,khushi2304,GP,F,15,60.0,65.0,65.0,59.0,63.0,63.333333333333336,4.0,3,13.714285714285714,0,1,0,1,0,0,1,0,0,0,20,0,0,76
Ram,ram@gmail.com,ram8540,GP,M,16,50.0,45.0,45.0,50.0,47.0,46.666666666666664,-3.0,5,37.285714285714285,0,1,0,1,1,1,1,0,62,0,50,27,75,47
Piyush,piyush@gmail.com,piyush2007,GP,M,16,40.0,30.0,35.0,66.0,70.0,35.0,4.0,5,21.857142857142858,0,1,0,1,1,1,1,0,15,0,21,22,13,82
Manisha,manisha@gmail.com,manisha4342,GP,F,16,35.0,35.0,40.0,62.0,64.0,36.666666666666664,2.0,4,24.428571428571427,1,1,0,0,0,1,1,63,24,0,0,0,40,44
Varsha,varsha@gmail.com,varsha3465,GP,F,15,75.0,80.0,85.0,54.0,55.0,80.0,1.0,3,26.571428571428573,0,1,0,0,1,0,1,0,64,0,0,56,0,66
Khushi,khushi@gmail.com,khushi4503,GP,F,16,35.0,30.0,30.0,90.0,87.0,31.666666666666668,-3.0,4,12.285714285714286,1,0,1,0,1,0,1,66,0,4,0,1,0,15
Khushi,khushi@gmail.com,khushi3382,GP,F,16,60.0,55.00000000000001,55.00000000000001,94.0,99.0,56.666666666666664,5.0,5,43.714285714285715,0,1,0,1,1,1,1,0,64,0,0,98,81,63
Piyush,piyush@gmail.com,piyush9736,GP,M,15,55.00000000000001,65.0,70.0,86.0,89.0,63.333333333333336,3.0,4,31.285714285714285,1,0,1,0,0,1,1,76,0,35,0,0,31,77
Varsha,varsha@gmail.com,varsha2569,GP,F,15,30.0,45.0,45.0,51.0,52.0,40.0,1.0,3,22.857142857142858,0,1,1,0,1,0,0,0,42,64,0,54,0,0
Anshul,anshul@gmail.com,anshul8609,GP,M,16,60.0,80.0,80.0,96.0,93.0,73.33333333333333,-3.0,4,28.428571428571427,0,0,1,0,1,1,1,0,0,34,0,49,54,62
Varsha,varsha@gmail.com,varsha7317,GP,F,16,35.0,40.0,45.0,54.0,58.0,40.0,4.0,3,12.714285714285714,0,0,1,0,1,0,1,0,0,41,0,48,0,0
Preeti,preeti@gmail.com,preeti9705,GP,F,16,60.0,75.0,75.0,100.0,99.0,70.0,-1.0,5,34.57142857142857,1,0,1,1,0,1,1,15,0,10,99,0,86,32
Khushi,khushi@gmail.com,khushi1926,GP,F,16,30.0,40.0,35.0,54.0,58.0,35.0,4.0,3,21.571428571428573,0,0,0,1,1,1,0,0,0,0,80,55,16,0
Abdul,abdul@gmail.com,abdul7932,GP,M,16,40.0,40.0,30.0,92.0,92.0,36.666666666666664,0.0,3,23.0,1,0,0,1,1,0,0,54,0,0,84,23,0,0
Ram,ram@gmail.com,ram7734,GP,M,16,85.0,90.0,90.0,95.0,90.0,88.33333333333333,-5.0,5,47.142857142857146,1,0,1,0,1,1,1,26,0,41,0,84,87,92
Vivek,vivek@gmail.com,vivek2613,GP,M,15,50.0,65.0,70.0,89.0,84.0,61.666666666666664,-5.0,3,28.285714285714285,1,1,0,0,0,0,1,70,61,0,0,0,0,67
Khushi,khushi@gmail.com,khushi9514,GP,F,15,35.0,30.0,30.0,83.0,83.0,31.666666666666668,0.0,3,17.0,1,0,1,1,0,0,0,32,0,31,56,0,0,0
Karan,karan@gmail.com,karan2482,GP,M,15,80.0,90.0,90.0,87.0,88.0,86.66666666666667,1.0,4,14.428571428571429,0,1,1,1,1,0,0,0,15,69,9,8,0,0
Khushi,khushi@gmail.com,khushi2112,GP,F,15,55.00000000000001,60.0,60.0,98.0,95.0,58.333333333333336,-3.0,4,38.285714285714285,1,1,0,0,1,1,0,39,69,0,0,92,68,0
Varsha,varsha@gmail.com,varsha4832,GP,F,15,40.0,45.0,45.0,95.0,93.0,43.333333333333336,-2.0,4,18.285714285714285,0,1,0,0,1,1,1,0,9,0,0,45,45,29
Ansh,ansh@gmail.com,ansh1205,GP,M,16,80.0,90.0,90.0,61.0,64.0,86.66666666666667,3.0,5,33.857142857142854,0,1,1,1,1,1,0,0,9,14,91,87,36,0
Piyush,piyush@gmail.com,piyush4184,GP,M,15,50.0,65.0,65.0,81.0,86.0,60.0,5.0,5,19.142857142857142,1,1,0,1,0,1,1,6,31,0,40,0,1,56
Manisha,manisha@gmail.com,manisha6762,GP,F,16,70.0,75.0,80.0,69.0,68.0,75.0,-1.0,3,25.0,0,1,1,1,0,0,0,0,76,33,66,0,0,0
Vivek,vivek@gmail.com,vivek7269,GP,M,15,90.0,95.0,95.0,78.0,77.0,93.33333333333333,-1.0,5,35.714285714285715,1,1,0,0,1,1,1,17,56,0,0,35,82,60
Khushi,khushi@gmail.com,khushi3105,GP,F,16,35.0,50.0,50.0,73.0,75.0,45.0,2.0,4,16.142857142857142,1,1,0,0,1,1,0,16,35,0,0,7,55,0
Mary,mary@gmail.com,mary4507,GP,F,16,55.00000000000001,70.0,70.0,92.0,93.0,65.0,1.0,3,22.285714285714285,0,1,0,1,0,1,0,0,61,0,4,0,91,0
Vivek,vivek@gmail.com,vivek5629,GP,M,15,90.0,95.0,95.0,80.0,79.0,93.33333333333333,-1.0,5,45.857142857142854,1,1,0,1,0,1,1,71,77,0,48,0,26,99
Anshul,anshul@gmail.com,anshul1304,GP,M,15,45.0,45.0,45.0,76.0,79.0,45.0,3.0,3,28.714285714285715,1,0,0,1,0,1,0,98,0,0,73,0,30,0
Vivek,vivek@gmail.com,vivek2482,GP,M,16,75.0,75.0,80.0,76.0,77.0,76.66666666666667,1.0,4,21.142857142857142,1,1,0,1,0,1,0,17,34,0,96,0,1,0
Ansh,ansh@gmail.com,ansh3402,GP,M,15,55.00000000000001,65.0,70.0,78.0,76.0,63.333333333333336,-2.0,3,18.857142857142858,0,0,0,0,1,1,1,0,0,0,0,20,22,90
Ansh,ansh@gmail.com,ansh7254,GP,M,16,60.0,65.0,60.0,51.0,49.0,61.666666666666664,-2.0,3,32.0,0,1,1,0,0,1,0,0,55,100,0,0,69,0
Anshul,anshul@gmail.com,anshul9239,GP,M,17,40.0,30.0,35.0,56.0,55.0,35.0,-1.0,3,28.428571428571427,0,0,1,0,1,0,1,0,0,46,0,57,0,96
Ram,ram@gmail.com,ram7076,GP,M,15,70.0,65.0,65.0,63.0,65.0,66.66666666666667,2.0,5,30.285714285714285,1,1,0,1,1,1,0,9,46,0,19,56,82,0
Khushi,khushi@gmail.com,khushi2546,GP,F,15,80.0,75.0,75.0,68.0,64.0,76.66666666666667,-4.0,3,17.142857142857142,0,1,0,1,0,0,1,0,77,0,15,0,0,28
Piyush,piyush@gmail.com,piyush1752,GP,M,15,80.0,70.0,75.0,73.0,70.0,75.0,-3.0,4,30.714285714285715,0,1,0,1,1,1,0,0,22,0,42,88,63,0
Mary,mary@gmail.com,mary6194,GP,F,16,70.0,70.0,70.0,94.0,90.0,70.0,-4.0,5,28.428571428571427,1,1,0,1,1,1,0,36,27,0,2,91,43,0
Karan,karan@gmail.com,karan8461,GP,M,16,65.0,50.0,60.0,51.0,54.0,58.333333333333336,3.0,5,43.714285714285715,1,1,1,1,0,0,1,81,79,22,51,0,0,73
Manisha,manisha@gmail.com,manisha1257,GP,F,16,35.0,30.0,35.0,52.0,57.0,33.333333333333336,5.0,5,29.428571428571427,1,1,1,0,0,1,1,8,100,0,0,0,81,17
Abdul,abdul@gmail.com,abdul6339,GP,M,15,65.0,65.0,60.0,90.0,86.0,63.333333333333336,-4.0,4,29.285714285714285,1,1,1,1,0,0,0,27,97,63,18,0,0,0
Khushi,khushi@gmail.com,khushi1347,GP,F,15,30.0,45.0,50.0,56.0,51.0,41.666666666666664,-5.0,5,27.571428571428573,1,1,1,0,1,1,0,5,96,17,0,44,31,0
Preeti,preeti@gmail.com,preeti7104,GP,F,19,35.0,40.0,45.0,61.0,57.0,40.0,-4.0,3,32.57142857142857,0,0,0,1,1,1,0,0,0,0,71,69,88,0
Abdul,abdul@gmail.com,abdul4849,GP,M,18,30.0,15.0,-5.0,59.0,63.0,13.333333333333334,4.0,3,29.142857142857142,0,0,0,0,1,1,1,0,0,0,0,83,47,74
Piyush,piyush@gmail.com,piyush6501,GP,M,16,85.0,85.0,85.0,54.0,55.0,85.0,1.0,4,17.857142857142858,1,0,0,0,1,1,1,59,0,0,0,15,0,51
Preeti,preeti@gmail.com,preeti2546,GP,F,15,60.0,0.0,0.0,61.0,66.0,20.0,5.0,5,48.142857142857146,1,1,1,0,0,1,1,64,75,71,0,0,43,84
Manisha,manisha@gmail.com,manisha5156,GP,F,15,45.0,5.0,5.0,92.0,89.0,18.333333333333332,-3.0,3,14.285714285714286,0,1,1,0,0,1,0,0,21,30,0,0,49,0
Varsha,varsha@gmail.com,varsha8672,GP,F,17,50.0,65.0,60.0,89.0,92.0,58.333333333333336,3.0,4,24.714285714285715,1,1,0,1,1,0,0,22,32,0,88,31,0,0
Khushi,khushi@gmail.com,khushi1860,GP,F,16,60.0,55.00000000000001,55.00000000000001,66.0,71.0,56.666666666666664,5.0,4,9.285714285714286,0,1,1,1,1,0,0,0,38,2,20,5,0,0
Anshul,anshul@gmail.com,anshul2204,GP,M,15,40.0,-5.0,-5.0,58.0,63.0,10.0,5.0,3,26.428571428571427,0,1,1,0,0,1,0,0,60,89,0,0,36,0
Preeti,preeti@gmail.com,preeti7526,GP,F,15,55.00000000000001,0.0,0.0,81.0,80.0,18.333333333333336,-1.0,4,28.428571428571427,1,1,1,0,0,0,1,88,55,1,0,0,0,55
Vivek,vivek@gmail.com,vivek6706,GP,M,17,45.0,-5.0,-5.0,52.0,56.0,11.666666666666666,4.0,5,31.428571428571427,0,1,1,0,1,1,1,0,16,92,0,95,8,9
Manisha,manisha@gmail.com,manisha1774,GP,F,16,20.0,0.0,0.0,84.0,86.0,6.666666666666667,2.0,4,21.285714285714285,1,0,0,1,1,1,0,34,0,0,27,49,39,0
Ram,ram@gmail.com,ram2567,GP,M,16,70.0,60.0,60.0,78.0,79.0,63.333333333333336,1.0,4,42.57142857142857,0,1,1,1,0,0,1,0,75,83,67,0,0,73
