name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,daily_study_hours,average_monthly_performance,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion,Web Development_teacher_completion,PowerBI_teacher_completion,C++ DSA_teacher_completion,Python_teacher_completion,Java_teacher_completion,MongoDB_teacher_completion,Machine Learning_teacher_completion
Vivek,vivek@gmail.com,vivek2803,GP,M,15,65.0,65.0,60.0,64,60,63.333333333333336,-4,5,23.0,6,82.73510651065882,1,1,0,0,1,1,1,8,56,0,0,12,72,13,27,99,0,0,71,80,87
Manisha,manisha@gmail.com,manisha8524,GP,F,16,35.0,35.0,30.0,63,64,33.333333333333336,1,4,19.571428571428573,2,69.49478170157799,0,1,1,0,1,0,1,0,30,7,0,0,0,100,0,95,98,0,12,0,100
Mary,mary@gmail.com,mary8548,GP,F,15,45.0,50.0,45.0,96,91,46.666666666666664,-5,4,26.142857142857142,5,60.8684605343727,0,0,1,0,1,1,1,0,0,42,0,42,33,66,0,0,99,0,88,47,81
Manisha,manisha@gmail.com,manisha2605,GP,F,15,85.0,85.0,85.0,97,92,85.0,-5,3,27.0,7,84.121957467707,0,0,0,1,1,0,1,0,0,0,39,89,0,61,0,0,0,93,100,0,69
Anshul,anshul@gmail.com,anshul5233,GP,M,16,65.0,75.0,75.0,78,78,71.66666666666667,0,5,40.57142857142857,7,87.66434443477807,0,1,1,1,0,1,1,0,45,50,51,0,98,40,0,91,67,55,0,100,88
Ram,ram@gmail.com,ram1683,GP,M,15,50.0,50.0,50.0,81,77,50.0,-4,4,11.142857142857142,6,83.89619619737735,1,1,0,0,0,1,1,38,16,0,0,0,16,8,86,92,0,0,0,40,34
Preeti,preeti@gmail.com,preeti6247,GP,F,15,35.0,25.0,20.0,52,53,26.666666666666668,1,5,20.0,6,69.72459085419746,1,1,0,1,0,1,1,4,9,0,30,0,52,45,70,79,0,99,0,69,69
Karan,karan@gmail.com,karan9418,GP,M,16,60.0,60.0,70.0,73,69,63.333333333333336,-4,4,10.285714285714286,7,80.53124719499328,1,1,1,0,0,0,1,0,30,36,0,0,0,6,71,83,95,0,0,0,80
Khushi,khushi@gmail.com,khushi8393,GP,F,16,55.00000000000001,60.0,55.00000000000001,76,79,56.666666666666664,3,3,21.714285714285715,7,60.263215364508845,0,0,0,0,1,1,1,0,0,0,0,42,100,10,0,0,0,0,87,100,55
Piyush,piyush@gmail.com,piyush9075,GP,M,15,50.0,50.0,55.00000000000001,95,100,51.666666666666664,5,3,19.0,8,86.83246261754273,1,0,0,0,1,1,0,18,0,0,0,96,19,0,57,0,0,0,97,71,0
Vivek,vivek@gmail.com,vivek3671,GP,M,15,50.0,50.0,45.0,52,54,48.333333333333336,2,4,10.857142857142858,1,74.49380951711731,1,1,0,0,1,0,1,0,0,0,0,66,0,10,13,55,0,0,90,0,96
Khushi,khushi@gmail.com,khushi3443,GP,F,16,60.0,60.0,60.0,99,100,60.0,1,3,24.571428571428573,7,67.62806800711569,1,1,0,0,0,1,0,65,10,0,0,0,97,0,89,24,0,0,0,99,0
Ram,ram@gmail.com,ram8729,GP,M,17,40.0,40.0,50.0,81,86,43.333333333333336,5,5,46.857142857142854,8,83.93413158925775,1,0,1,1,1,0,1,57,0,74,74,38,0,85,91,0,97,99,91,0,86
Manisha,manisha@gmail.com,manisha5524,GP,F,16,25.0,25.0,25.0,68,66,25.0,-2,5,26.571428571428573,5,85.76750327372949,0,0,1,1,1,1,1,0,0,29,3,37,58,59,0,0,88,3,98,59,99
Vivek,vivek@gmail.com,vivek6726,GP,M,15,45.0,55.00000000000001,55.00000000000001,57,55,51.666666666666664,-2,3,25.571428571428573,6,71.40356275370074,1,0,0,1,0,1,0,21,0,0,59,0,99,0,63,0,0,75,0,100,0
Karan,karan@gmail.com,karan3826,GP,M,15,50.0,45.0,50.0,57,56,48.333333333333336,-1,5,31.428571428571427,7,70.201351011567,0,1,1,1,1,1,0,0,23,61,29,43,64,0,0,70,67,32,99,89,0
Preeti,preeti@gmail.com,preeti7395,GP,F,15,35.0,30.0,30.0,63,64,31.666666666666668,1,5,53.42857142857143,3,85.11332375313316,1,1,1,1,0,1,0,85,94,90,18,0,87,0,86,99,99,38,0,89,0
Vivek,vivek@gmail.com,vivek8644,GP,M,15,75.0,75.0,75.0,75,71,75.0,-4,4,37.857142857142854,6,64.26095080303772,1,1,1,0,0,1,0,67,73,85,0,0,40,0,90,94,97,0,0,56,0
Varsha,varsha@gmail.com,varsha8508,GP,F,15,50.0,55.00000000000001,55.00000000000001,91,96,53.333333333333336,5,5,47.857142857142854,2,66.68813409489552,1,0,0,1,1,1,1,60,0,0,95,92,13,75,99,0,0,100,97,89,78
Mary,mary@gmail.com,mary2923,GP,F,15,30.0,40.0,35.0,59,63,35.0,4,5,34.285714285714285,7,81.59849539101168,1,1,1,1,1,0,0,26,24,83,49,58,0,0,87,54,85,70,93,0,0
Khushi,khushi@gmail.com,khushi8854,GP,F,16,40.0,35.0,30.0,77,81,35.0,4,3,24.285714285714285,3,77.66351974041666,1,0,0,1,0,1,0,91,0,0,15,0,64,0,93,0,0,44,0,65,0
Khushi,khushi@gmail.com,khushi2304,GP,F,15,60.0,65.0,65.0,59,56,63.333333333333336,-3,3,26.285714285714285,2,83.22966266375377,1,0,1,0,1,0,0,85,0,52,0,47,0,0,88,0,76,0,57,0,0
Ram,ram@gmail.com,ram8540,GP,M,16,50.0,45.0,45.0,50,52,46.666666666666664,2,4,23.142857142857142,2,74.1092860486045,0,0,1,1,1,1,0,0,0,97,15,1,49,0,0,0,97,45,63,75,0
Piyush,piyush@gmail.com,piyush2007,GP,M,16,40.0,30.0,35.0,66,70,35.0,4,5,28.857142857142858,7,61.876696490190405,1,1,0,1,1,0,1,22,65,0,73,10,0,32,41,81,0,85,32,0,61
Manisha,manisha@gmail.com,manisha4342,GP,F,16,35.0,35.0,40.0,62,57,36.666666666666664,-5,3,15.0,3,89.10556352010916,1,0,1,0,0,1,0,35,0,60,0,0,10,0,65,0,93,0,0,23,0
Varsha,varsha@gmail.com,varsha3465,GP,F,15,75.0,80.0,85.0,54,59,80.0,5,3,32.0,3,88.76953215529777,0,0,1,0,1,1,0,0,0,41,0,96,87,0,0,0,66,0,96,97,0
Khushi,khushi@gmail.com,khushi4503,GP,F,16,35.0,30.0,30.0,90,92,31.666666666666668,2,3,21.857142857142858,2,65.61823965035985,0,1,1,0,0,1,0,0,49,22,0,0,82,0,0,93,90,0,0,85,0
Khushi,khushi@gmail.com,khushi3382,GP,F,16,60.0,55.00000000000001,55.00000000000001,94,90,56.666666666666664,-4,5,46.42857142857143,2,67.15365230802084,0,1,1,0,1,1,1,0,84,85,0,54,82,20,0,89,96,0,77,98,66
Piyush,piyush@gmail.com,piyush9736,GP,M,15,55.00000000000001,65.0,70.0,86,89,63.333333333333336,3,4,14.571428571428571,6,74.91676193403907,0,0,1,0,1,1,1,0,0,1,0,36,42,23,0,0,33,0,63,92,26
Varsha,varsha@gmail.com,varsha2569,GP,F,15,30.0,45.0,45.0,51,48,40.0,-3,3,16.285714285714285,2,61.49072089881361,1,0,0,1,0,1,0,37,0,0,46,0,31,0,44,0,0,69,0,67,0
Anshul,anshul@gmail.com,anshul8609,GP,M,16,60.0,80.0,80.0,96,99,73.33333333333333,3,4,31.142857142857142,6,83.21790508939586,1,0,0,1,1,0,1,29,0,0,99,26,0,64,82,0,0,99,33,0,82
Varsha,varsha@gmail.com,varsha7317,GP,F,16,35.0,40.0,45.0,54,55,40.0,1,4,19.714285714285715,4,68.40008672638857,0,0,1,0,1,1,1,0,0,39,0,9,29,61,0,0,44,0,100,90,88
Preeti,preeti@gmail.com,preeti9705,GP,F,16,60.0,75.0,75.0,100,100,70.0,0,4,11.142857142857142,4,83.97923088907001,1,0,0,0,1,1,1,17,0,0,0,8,28,25,63,0,0,0,29,38,54
Khushi,khushi@gmail.com,khushi1926,GP,F,16,30.0,40.0,35.0,54,56,35.0,2,4,37.42857142857143,1,71.68091664765633,1,1,0,1,1,0,0,50,99,0,75,38,0,0,53,99,0,79,51,0,0
Abdul,abdul@gmail.com,abdul7932,GP,M,16,40.0,40.0,30.0,92,93,36.666666666666664,1,3,24.0,3,78.11794578238127,0,0,1,0,0,1,1,0,0,89,0,0,0,79,0,0,99,0,0,37,98
Ram,ram@gmail.com,ram7734,GP,M,16,85.0,90.0,90.0,95,93,88.33333333333333,-2,5,31.285714285714285,6,60.52806380437892,1,0,1,1,1,0,1,64,0,17,71,28,0,39,82,0,83,74,85,0,85
Vivek,vivek@gmail.com,vivek2613,GP,M,15,50.0,65.0,70.0,89,94,61.666666666666664,5,4,25.142857142857142,2,64.67226536882023,0,1,1,0,0,1,1,0,47,19,0,0,10,100,0,72,84,0,0,96,100
Khushi,khushi@gmail.com,khushi9514,GP,F,15,35.0,30.0,30.0,83,84,31.666666666666668,1,3,21.285714285714285,1,87.53577429768839,0,0,1,1,1,0,0,0,0,51,65,33,0,0,0,0,60,87,98,0,0
Karan,karan@gmail.com,karan2482,GP,M,15,80.0,90.0,90.0,87,87,86.66666666666667,0,5,42.0,1,85.4374642261251,1,1,1,1,1,0,0,65,80,65,10,74,0,0,78,95,77,58,90,0,0
Khushi,khushi@gmail.com,khushi2112,GP,F,15,55.00000000000001,60.0,60.0,98,100,58.333333333333336,2,5,30.142857142857142,8,62.702936517306036,1,0,1,0,1,1,1,60,0,4,0,45,39,63,72,0,11,0,56,89,71
Varsha,varsha@gmail.com,varsha4832,GP,F,15,40.0,45.0,45.0,95,96,43.333333333333336,1,3,16.714285714285715,1,70.62994055989273,0,0,1,0,1,0,1,0,0,14,0,23,0,80,0,0,35,0,55,0,84
Ansh,ansh@gmail.com,ansh1205,GP,M,16,80.0,90.0,90.0,61,64,86.66666666666667,3,4,20.428571428571427,2,72.38873069137927,1,0,0,1,0,1,1,42,0,0,42,0,41,18,93,0,0,97,0,55,95
Piyush,piyush@gmail.com,piyush4184,GP,M,15,50.0,65.0,65.0,81,80,60.0,-1,4,49.142857142857146,1,80.58772783127444,0,1,0,1,1,0,1,0,91,0,95,68,0,90,0,95,0,99,99,0,99
Manisha,manisha@gmail.com,manisha6762,GP,F,16,70.0,75.0,80.0,69,72,75.0,3,4,18.571428571428573,5,80.29774655594196,0,0,1,0,1,1,1,0,0,19,0,6,76,29,0,0,67,0,87,94,31
Vivek,vivek@gmail.com,vivek7269,GP,M,15,90.0,95.0,95.0,78,73,93.33333333333333,-5,3,13.571428571428571,8,84.47218242597079,0,0,1,1,1,0,0,0,0,15,65,15,0,0,0,0,71,76,60,0,0
Khushi,khushi@gmail.com,khushi3105,GP,F,16,35.0,50.0,50.0,73,75,45.0,2,3,24.571428571428573,4,76.74275205515332,1,0,1,1,0,0,0,61,0,19,92,0,0,0,79,0,100,93,0,0,0
Mary,mary@gmail.com,mary4507,GP,F,16,55.00000000000001,70.0,70.0,92,96,65.0,4,3,25.428571428571427,6,83.18857527695121,0,1,1,1,0,0,0,0,97,15,66,0,0,0,0,98,94,82,0,0,0
Vivek,vivek@gmail.com,vivek5629,GP,M,15,90.0,95.0,95.0,80,78,93.33333333333333,-2,3,25.285714285714285,7,83.37303275603546,0,1,1,0,0,0,1,0,52,85,0,0,0,40,0,62,96,0,0,0,46
Anshul,anshul@gmail.com,anshul1304,GP,M,15,45.0,45.0,45.0,76,72,45.0,-4,4,7.714285714285714,4,75.64967626164139,0,1,1,1,0,0,1,0,5,23,5,0,0,21,0,47,35,36,0,0,80
Vivek,vivek@gmail.com,vivek2482,GP,M,16,75.0,75.0,80.0,76,72,76.66666666666667,-4,5,30.714285714285715,4,88.92632382984341,1,1,1,0,1,1,0,14,5,97,0,97,2,0,85,88,99,0,98,3,0
